run_id,run_name,state,lr_rew,gradient_steps_rew,batch_size_rew,fragment_length,fragmenter_type,labels_type,net_arch,total_queries,successes,timeouts,collisions,ep_length,ep_avg_speed,ep_env_return,ep_fast_return,spearman_seg1,spearman_seg5,spearman_seg20,spearman_segNone,acc_val,acc_train,acc_gap,loss_val,mean_true_reward,mean_model_reward,time_train_rew_model
0l9y7muc,ppo_chri binary_bernulli seg1 tot_queries=10000 fragmenter_type=random seed=0,finished,0.0003,100,100,1.0,random,binary_bernulli,"[128, 128]",10000,0.5135135135135134,0.0,0.4864864864864865,112.51351351351356,20.517026869891744,-0.7411315070616236,11.10620392665096,0.8309375275772918,0.7235266468177476,0.6867313356416153,0.7663619315518051,0.5088235139846802,0.5439698696136475,0.035146355628967285,0.6934394240379333,15.491063440185112,0.8762298822402954,6.018069019075483
bs3rd27m,ppo_chri soft seg1 tot_queries=10000 fragmenter_type=random seed=0,finished,0.0003,100,100,1.0,random,soft,"[32, 32]",10000,0.8695652173913043,0.0,0.08695652173913043,178.17391304347825,17.718227370395475,-0.3826424142588741,39.24118779514011,0.8159588686560574,0.7226378377096196,0.7198197364169375,0.6833567744960151,0.9441176652908324,0.945100486278534,0.000982820987701416,0.6865526437759399,42.18772847297753,0.2318822145462036,6.339896992081776
qrbknyjn,ppo_chri binary_bernulli seg1 tot_queries=100000 fragmenter_type=random seed=0,finished,0.0003,100,100,1.0,random,binary_bernulli,"[32, 32]",100000,0.7368421052631579,0.0,0.2631578947368421,231.47368421052633,12.982717080047614,-0.31468549841328664,12.203370143697626,0.7937122565429373,0.6392819564879,0.7447050461766874,0.4519690576652602,0.5151000022888184,0.5136125087738037,-0.0014874935150146484,0.6878355145454407,17.173103014269568,-0.24309663474559784,7.427690118085593
stqp5hz7,ppo_chri binary_bernulli seg1 tot_queries=50000 fragmenter_type=random seed=0,finished,0.0003,100,100,1.0,random,binary_bernulli,"[32, 32]",50000,0.7777777777777778,0.0,0.2222222222222222,233.94444444444443,14.15656940821051,3.954312115907669,14.02266218115411,0.7881676324584057,0.5270457847189722,0.29750756866864736,-0.3217299578059072,0.5066999793052673,0.5180500149726868,0.011350035667419434,0.6871060729026794,15.9284295954817,-0.9053269624710084,7.091576311038807
suk23nvp,ppo_chri binary_bernulli seg1 tot_queries=10000 fragmenter_type=random seed=0,finished,0.0003,100,100,1.0,random,binary_bernulli,"[32, 32]",10000,0.7500000000000002,0.0,0.25,287.0833333333333,13.48989891926814,-0.6778723001480103,-0.6135196065408459,0.7896525563532801,0.4974748654728809,0.17342306536213456,-0.36380684481950304,0.5034313797950745,0.5258793830871582,0.02244800329208374,0.6862809658050537,-5.184992721983067,-0.7121599912643433,6.06997332489118
qvdxlfop,ppo_chri soft seg2 tot_queries=10000 fragmenter_type=active seed=0,finished,0.0003,100,100,2.0,active,soft,"[128, 128]",10000,0.76,0.0,0.24,141.83999999999995,21.173128280392746,-0.09914422512054442,34.625522950855036,0.8157272750210771,0.7210523944356619,0.7166393134189468,0.7426160337552743,0.9161764979362488,0.9211055040359496,0.004929006099700928,0.689193844795227,37.81084115016187,-0.10038895905017851,7.487749790074304
4n4jniew,ppo_chri binary_bernulli seg2 tot_queries=100000 fragmenter_type=active seed=0,finished,0.0003,100,100,2.0,active,binary_bernulli,"[128, 128]",100000,0.9,0.0,0.1,350.40000000000003,8.923934894989952,-2.13478946685791,7.516944170137867,0.7944887763778714,0.6073388777978189,0.6540809931282805,0.30309423347398035,0.5065500140190125,0.5110250115394592,0.004474997520446777,0.6916556358337402,13.87133217847468,1.4762580394744873,8.611788439098746
b31248mv,ppo_chri binary_bernulli seg2 tot_queries=50000 fragmenter_type=active seed=0,finished,0.0003,100,100,2.0,active,binary_bernulli,"[128, 128]",50000,0.7857142857142857,0.0,0.21428571428571427,279.07142857142856,11.06006373057754,1.4411165160792212,6.39211956272096,0.8165582874760068,0.6392999728887405,0.6079708604555247,0.014252226910454758,0.5185999870300293,0.514549970626831,-0.004050016403198242,0.6887202858924866,-0.7804184193010061,-0.41146141290664673,8.816712793894112
g7urou50,ppo_chri binary_bernulli seg2 tot_queries=10000 fragmenter_type=active seed=0,finished,0.0003,100,100,2.0,active,binary_bernulli,"[128, 128]",10000,0.3191489361702129,0.0,0.6808510638297873,86.12765957446811,22.37805950192377,1.2582812455106285,-6.631956059884577,0.7957489182152652,0.6007448750902218,0.42033190437218265,0.6620956399437413,0.4975490272045135,0.5548995137214661,0.057350486516952515,0.6950145363807678,-21.17627487365789,0.4540494382381439,7.529810370877385
f3dw3wst,ppo_chri soft seg2 tot_queries=10000 fragmenter_type=active seed=0,finished,0.0003,100,100,2.0,active,soft,"[32, 32]",10000,0.894736842105263,0.0,0.10526315789473684,195.0,17.261202523439287,-0.44080366586384,40.41119363820071,0.8160406075860506,0.7103446468695,0.7147490620144805,0.5666197843413033,0.966176450252533,0.9599246382713318,-0.006251811981201172,0.6865546107292175,44.80959876175492,0.1095798686146736,6.978704815963283
suzh1udy,ppo_chri binary_bernulli seg2 tot_queries=100000 fragmenter_type=active seed=0,finished,0.0003,100,100,2.0,active,binary_bernulli,"[32, 32]",100000,0.2222222222222222,0.6666666666666667,0.1111111111111111,478.22222222222223,7.113316357541982,-7.269110255771213,-53.590300437349406,0.8041612164270543,0.6812361485783132,0.78992105993114,0.9013361462728552,0.5085999965667725,0.5111125111579895,0.002512514591217041,0.6904475092887878,-5.475731874397137,1.721218228340149,8.515075391856954
e61s6ipc,ppo_chri binary_bernulli seg2 tot_queries=50000 fragmenter_type=active seed=0,finished,0.0003,100,100,2.0,active,binary_bernulli,"[32, 32]",50000,0.0,0.7272727272727273,0.27272727272727276,437.0,2.546146097313018,0.21997061100873072,-98.53772710482474,0.5787865517035968,0.2828514877277934,0.009679287350488688,0.4975621190811065,0.510200023651123,0.5159249901771545,0.005724966526031494,0.689633309841156,-110.80226011755131,0.35844099521636963,7.382686394965276
6xbtn94i,ppo_chri binary_bernulli seg2 tot_queries=10000 fragmenter_type=active seed=0,finished,0.0003,100,100,2.0,active,binary_bernulli,"[32, 32]",10000,0.8666666666666667,0.0,0.13333333333333333,262.4,13.877398294996375,-0.15570968786875372,24.69415483884731,0.7873911126234713,0.712620718842341,0.7695543511477807,0.8232067510548524,0.4975490272045135,0.5424622893333435,0.04491326212882995,0.6900160312652588,7.801351871530845,0.5527840256690979,7.398484142031521
0n1bx7b9,ppo_chri soft seg2 tot_queries=10000 fragmenter_type=random seed=0,finished,0.0003,100,100,2.0,random,soft,"[128, 128]",10000,0.9166666666666664,0.0,0.08333333333333333,165.54166666666663,21.496745558908813,0.6086339068909487,49.76054426440967,0.8150597404261335,0.7163801411510439,0.7088982838577995,0.6345991561181435,0.9284313917160034,0.92625629901886,-0.0021750926971435547,0.6894413828849792,33.77219515084417,0.2546691596508026,7.243734295014292
tkd0bb2o,ppo_chri binary_bernulli seg2 tot_queries=100000 fragmenter_type=random seed=0,finished,0.0003,100,100,2.0,random,binary_bernulli,"[128, 128]",100000,0.6000000000000002,0.0,0.4,212.4,14.352626931230152,-0.6347663541634879,2.538305325375988,0.805087590966976,0.6881964847696657,0.745407139555489,0.8813877168307549,0.5008000135421753,0.5102999806404114,0.009499967098236084,0.691045343875885,24.406390883335916,0.642089307308197,8.330303514841944
